;;Quality (cost/benefit);Quality (50% avg. risk);Quality (33% avg. risk);Quality (20% avg. risk);Quality (50% ind. risk);Quality (33% ind. risk);Quality (20% ind. risk);Payout (cost/benefit);Payout (optimal)
quality model;adversary gain = publisher loss;Value;Value;Value;Value;Value;Value;Value;Value;Value
Loss (0.5/1.0/1.0);0.0;1.0;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;1.0;1.0
Normalized non-uniform entropy;0.0;1.0;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;1.0;1.0
KL-Divergence;0.0;1.0;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;1.0;1.0
Loss (0.5/1.0/1.0);250.0;1.0;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;0.8670188262031264;0.8670188262031264
Normalized non-uniform entropy;250.0;1.0;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;0.8670188262031264;0.8670188262031264
KL-Divergence;250.0;1.0;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;0.8670188262031264;0.8670188262031264
Loss (0.5/1.0/1.0);500.0;1.0;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;0.7340376524062528;0.7340376524062528
Normalized non-uniform entropy;500.0;1.0;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;0.7340376524062528;0.7340376524062528
KL-Divergence;500.0;1.0;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;0.7340376524062528;0.7340376524062528
Loss (0.5/1.0/1.0);750.0;1.0;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;0.6010564786093793;0.6010564786093793
Normalized non-uniform entropy;750.0;1.0;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;0.6010564786093793;0.6010564786093793
KL-Divergence;750.0;1.0;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;0.6010564786093793;0.6010564786093793
Loss (0.5/1.0/1.0);1000.0;1.0;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;0.46807530481250575;0.46807530481250575
Normalized non-uniform entropy;1000.0;1.0;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;0.46807530481250575;0.46807530481250575
KL-Divergence;1000.0;1.0;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;0.46807530481250575;0.46807530481250575
Loss (0.5/1.0/1.0);1250.0;0.9610882268845622;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;0.5629218095164952;0.5629218095164952
Normalized non-uniform entropy;1250.0;0.8094836100723882;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;0.6094376583821284;0.6094376583821284
KL-Divergence;1250.0;0.8309310590448751;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;0.3534570529471393;0.3534570529471393
Loss (0.5/1.0/1.0);1500.0;0.9553874860603973;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;0.5570677743661503;0.5570677743661503
Normalized non-uniform entropy;1500.0;0.809095910142946;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;0.5928615950200699;0.5928615950200699
KL-Divergence;1500.0;0.8309310590448751;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;0.311362983354682;0.311362983354682
Loss (0.5/1.0/1.0);1750.0;0.9529818547896587;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;0.5517651145584681;0.5517651145584681
Normalized non-uniform entropy;1750.0;0.7854849291461715;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;0.5767952833884459;0.5767952833884459
KL-Divergence;1750.0;0.8309310590448751;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;0.2692689137622248;0.2692689137622248
Loss (0.5/1.0/1.0);2000.0;0.9510749026972385;0.9978423305566695;0.9880363859181562;0.9858529029502896;0.9620815880800144;0.9526819512748128;0.9368848662017473;0.5466584658698344;0.5466584658698344
Normalized non-uniform entropy;2000.0;0.7669513640908061;0.9395658865942351;0.8999210214911785;0.8623145207124654;0.8094836100723882;0.7657461811222445;0.7427619351662984;0.5634937861730572;0.5634937861730572
KL-Divergence;2000.0;0.8309310590448751;0.8811764705814145;0.8523300819031872;0.798980197307099;0.8309310590448751;0.7631751925253761;0.7354252282514977;0.2271748441697675;0.2271748441697675
