;With all optimizations;Expression simplification;Without optimizations
adversary gain = publisher loss;Value;Value;Value
0.0;0.020559699210000004;0.18322573817;0.25676541497999994
250.0;0.05861613280000001;0.18450628210000003;0.25423940442000004
500.0;0.07951978806000003;0.16666112939999994;0.23733111293
750.0;0.08799740566999999;0.11846108580000006;0.18886706938999995
1000.0;0.09056751151;0.12013708333000002;0.18945906576000004
1250.0;0.09370223334999997;0.12037486810000005;0.19040215672999994
1500.0;0.09523891734999998;0.11762501785000004;0.18791180573000005
1750.0;0.09542040660000001;0.11757650478;0.18749948499000002
2000.0;0.09553019273000002;0.11737322874000004;0.18761968332000012
