;TIME Full-domain generalization + record suppression;PAYOUT Full-domain generalization + record suppression;TIME Optimal record-level generalization;PAYOUT Optimal record-level generalization;TIME Multi-dimensional global recoding;PAYOUT Multi-dimensional global recoding
adversary gain = publisher loss;Value;Value;Value;Value;Value;Value
0.0;0.01749;1.0;309.738;1.0;0.088;1.0
250.0;0.0513;0.8670188262031264;663.161;0.8850916736396338;2.249;0.8838328216218446
500.0;0.06929;0.7435937299146395;891.205;0.8251983617509507;7.824;0.8214452897949273
750.0;0.07729;0.6869103730179782;1009.873;0.7887011169520126;11.122;0.7835166224333185
1000.0;0.08018;0.6535499453556718;1073.265;0.7633926155623316;11.383;0.7586559273596304
1250.0;0.08266;0.6359983365439223;1122.357;0.7442891301084648;12.243;0.7376386314829371
1500.0;0.08405;0.6199387355898156;1156.306;0.7291217345339454;12.809;0.724210430081473
1750.0;0.0847;0.6040443034325425;1179.609;0.7166477633924656;13.181;0.7118782439182331
2000.0;0.08475;0.5908190912714206;1199.394;0.7060212165571391;12.893;0.7013409992722927
